brand_name,listing_id,offer_price,original_price,product_id,product_link,product_name
Weardo,LSTTSHE8PY6ZXFVFZ5HG8F1II,798,"2,097",TSHE8PY6ZXFVFZ5H,http://flipkart.com/weardo-solid-men-polo-neck-green-blue-black-t-shirt/p/itmez7y4gqjyywhr,"Solid Men Polo Neck Green, Blue, Black T-Shirt"
Metronaut,LSTTSHFCG4YFQM7GYQMCN1GHL,494,"1,099",TSHFCG4YFQM7GYQM,http://flipkart.com/metronaut-solid-men-polo-neck-dark-blue-t-shirt/p/itmfcg4ytcfqd7vh,Solid Men Polo Neck Dark Blue T-Shirt
Try This,LSTTSHF8UEUQPUSH9HFSXT9IB,355,"1,299",TSHF8UEUQPUSH9HF,http://flipkart.com/try-solid-men-polo-neck-white-black-t-shirt/p/itm2c2c28da76aa7,"Solid Men Polo Neck White, Black T-Shirt"
Tripr,LSTTSHFBDGVXMVHVUPYCGUS7L,360,899,TSHFBDGVXMVHVUPY,http://flipkart.com/tripr-abstract-men-hooded-neck-dark-blue-t-shirt/p/itmfbh24farrt3qj,Abstract Men Hooded Neck Dark Blue T-Shirt
KAY S APPARELS,LSTTSHF566YGHGAXRTCU3PDFB,199,899,TSHF566YGHGAXRTC,http://flipkart.com/kay-s-apparels-solid-men-hooded-neck-red-black-t-shirt/p/itmf56hk7tavzfjk,"Solid Men Hooded Neck Red, Black T-Shirt"
Try This,LSTTSHF9FZZGGZMTQACSQXCDT,339,999,TSHF9FZZGGZMTQAC,http://flipkart.com/try-color-block-men-v-neck-maroon-t-shirt/p/itmf922zddbnaswt,Color Block Men V-neck Maroon T-Shirt
SCATCHITE,LSTTSHFKFYBEJKVYFMWYFAZRQ,721,"2,997",TSHFKFYBEJKVYFMW,http://flipkart.com/scatchite-color-block-men-round-neck-white-black-grey-t-shirt/p/itm797b2d3312f2d,"Color Block Men Round Neck White, Black, Grey T-Shirt"
JORKK,LSTTSHFFKPJWJHGWSZ22WIOGK,299,497,TSHFFKPJWJHGWSZ2,http://flipkart.com/jorkk-solid-men-collared-neck-blue-t-shirt/p/itmffkqrvjsxbw2c,Solid Men Collared Neck Blue T-Shirt
Aelomart,LSTTSHFMUPT4AKQRHJK61CFIR,449,"1,499",TSHFMUPT4AKQRHJK,http://flipkart.com/aelomart-color-block-men-round-neck-green-maroon-t-shirt/p/itme8fec3fffb1aa,"Color Block Men Round Neck Green, Maroon T-Shirt"
Try This,LSTTSHFGMGKGHE3SCTRY9EQZ0,335,999,TSHFGMGKGHE3SCTR,http://flipkart.com/try-color-block-men-round-neck-maroon-t-shirt/p/itm1e9001f0244a3,Color Block Men Round Neck Maroon T-Shirt
Try This,LSTTSHFE247NUFVWR2AD1ELC7,329,999,TSHFE247NUFVWR2A,http://flipkart.com/try-solid-men-mandarin-collar-dark-blue-t-shirt/p/itm452a51eb4fc3e,Solid Men Mandarin Collar Dark Blue T-Shirt
Helmont,LSTTSHFDFTFFR2QUDWVQIYWB1,259,999,TSHFDFTFFR2QUDWV,http://flipkart.com/helmont-striped-men-hooded-neck-red-black-t-shirt/p/itmfdfvufw3fmuhz,"Striped Men Hooded Neck Red, Black T-Shirt"
London Hills,LSTTSHFMZ6ZEJHVGDXQXE197N,379,"1,299",TSHFMZ6ZEJHVGDXQ,http://flipkart.com/london-hills-solid-men-round-neck-blue-t-shirt/p/itm503c45331db79,Solid Men Round Neck Blue T-Shirt
FastColors,LSTTSHFJWAUSFHD4DSBA7W1FS,333,"1,999",TSHFJWAUSFHD4DSB,http://flipkart.com/fastcolors-solid-men-round-neck-dark-blue-black-yellow-t-shirt/p/itm6ed306b23fe7d,"Solid Men Round Neck Dark Blue, Black, Yellow T-Shirt"
London Hills,LSTTSHFMZ6ZMSKPEGYXCUP3Z6,379,"1,299",TSHFMZ6ZMSKPEGYX,http://flipkart.com/london-hills-solid-men-round-neck-yellow-t-shirt/p/itm494c76a9e99a2,Solid Men Round Neck Yellow T-Shirt
LEWEL,LSTTSHFGXA9MANSMYQ7MZ0GMS,469,"1,999",TSHFGXA9MANSMYQ7,http://flipkart.com/lewel-color-block-men-hooded-neck-white-blue-yellow-t-shirt/p/itmdeb5477c07276,"Color Block Men Hooded Neck White, Blue, Yellow T-Shirt"
Try This,LSTTSHFFWKAPUSBUGPBEE7CAQ,399,"1,299",TSHFFWKAPUSBUGPB,http://flipkart.com/try-color-block-men-polo-neck-maroon-blue-t-shirt/p/itm8c26104c6156a,"Color Block Men Polo Neck Maroon, Blue T-Shirt"
Try This,LSTTSHFJ6MQZV4VBYZ6Y21QWS,332,999,TSHFJ6MQZV4VBYZ6,http://flipkart.com/try-solid-men-mandarin-collar-maroon-t-shirt/p/itme5b5dbb3664d7,Solid Men Mandarin Collar Maroon T-Shirt
BULLMER,LSTTSHFSBS5YD36C5PGDMRXFI,799,"1,499",TSHFSBS5YD36C5PG,http://flipkart.com/bullmer-printed-men-round-neck-multicolor-t-shirt/p/itmbfd40830ff600,Printed Men Round Neck Multicolor T-Shirt
Wexford,LSTTSHEN97FKV9RWMJYM6L2JH,440,799,TSHEN97FKV9RWMJY,http://flipkart.com/wexford-striped-men-polo-neck-multicolor-t-shirt/p/itmez6mdn7k4ggap,Striped Men Polo Neck Multicolor T-Shirt
Try This,LSTTSHF8TZE44SVHWTFK76POD,359,999,TSHF8TZE44SVHWTF,http://flipkart.com/try-color-block-men-round-crew-white-blue-t-shirt/p/itmf8u8tcgvxtesv,"Color Block Men Round or Crew White, Blue T-Shirt"
FastColors,LSTTSHFDNCN5VTZCQZUJIBDJR,333,"1,999",TSHFDNCN5VTZCQZU,http://flipkart.com/fastcolors-striped-men-round-neck-white-blue-t-shirt/p/itmb29a4b7ebf167,"Striped Men Round Neck White, Blue T-Shirt"
BULLMER,LSTTSHFSBS5AKFMGRYYJVNDYY,799,"1,499",TSHFSBS5AKFMGRYY,http://flipkart.com/bullmer-printed-men-round-neck-multicolor-t-shirt/p/itmd48c7eee46d37,Printed Men Round Neck Multicolor T-Shirt
FastColors,LSTTSHFK6WP8A5ZS4HHLNIV04,620,"2,999",TSHFK6WP8A5ZS4HH,http://flipkart.com/fastcolors-solid-men-round-neck-white-blue-yellow-t-shirt/p/itm2f8d778508881,"Solid Men Round Neck White, Blue, Yellow T-Shirt"
BULLMER,LSTTSHFSBS5ZDXC3HYGHQ2YYY,799,"1,499",TSHFSBS5ZDXC3HYG,http://flipkart.com/bullmer-printed-men-round-neck-multicolor-t-shirt/p/itmf10574f89e8f6,Printed Men Round Neck Multicolor T-Shirt
Diwazzo,LSTTSHF7HHRJX35DVGEFC2UHQ,284,999,TSHF7HHRJX35DVGE,http://flipkart.com/diwazzo-color-block-men-round-neck-blue-t-shirt/p/itmf7gngksebzxhk,Color Block Men Round Neck Blue T-Shirt
WEFT,LSTTSHFGUJWPWSBA3ZKTLSNVU,426,"1,799",TSHFGUJWPWSBA3ZK,http://flipkart.com/weft-solid-men-v-neck-multicolor-t-shirt/p/itm6bb7f53b9a3c0,Solid Men V Neck Multicolor T-Shirt
Seven Rocks,LSTTSHFMGKZGDACMFUZKT7KMI,379,"1,299",TSHFMGKZGDACMFUZ,http://flipkart.com/seven-rocks-striped-men-s-yellow-t-shirt/p/itm8518f98815b22,Striped Men s Yellow T-Shirt
The EG Store,LSTTSHFEJWYFHYED8RGXPAGBV,319,799,TSHFEJWYFHYED8RG,http://flipkart.com/eg-store-color-block-men-round-neck-grey-t-shirt/p/itm0534a077dd6e0,Color Block Men Round Neck Grey T-Shirt
Billion,LSTTSHEVPYJWNZY4JDUEODX7W,899,"1,999",TSHEVPYJWNZY4JDU,http://flipkart.com/billion-perfectfit-striped-men-round-crew-multicolor-t-shirt/p/itmf3ywygdr5r5rk,PerfectFit Striped Men Round or Crew Multicolor T-Shirt
Try This,LSTTSHFGCZANHS3RMTMUCNHGE,435,999,TSHFGCZANHS3RMTM,http://flipkart.com/try-checkered-men-polo-neck-blue-t-shirt/p/itme866b350e5bc0,Checkered Men Polo Neck Blue T-Shirt
Rezalia,LSTTSHFHXHPWMRYMH7HC0VAY4,249,999,TSHFHXHPWMRYMH7H,http://flipkart.com/rezalia-striped-men-round-neck-black-t-shirt/p/itmfhy6gbfrebpgr,Striped Men Round Neck Black T-Shirt
Try This,LSTTSHFE3DSGEFVRAXD3W7QLV,325,999,TSHFE3DSGEFVRAXD,http://flipkart.com/try-color-block-men-round-neck-black-t-shirt/p/itmfe3mjy7p9absw,Color Block Men Round Neck Black T-Shirt
Tripr,LSTTSHFNJFXTWSRGSTXCJODPP,401,899,TSHFNJFXTWSRGSTX,http://flipkart.com/tripr-color-block-men-v-neck-dark-blue-grey-t-shirt/p/itmf259960cba6c3,"Color Block Men V Neck Dark Blue, Grey T-Shirt"
Try This,LSTTSHFGT73ZMZWARHZJLWY7Z,332,999,TSHFGT73ZMZWARHZ,http://flipkart.com/try-solid-men-mandarin-collar-black-t-shirt/p/itmbde9e81ee37c3,Solid Men Mandarin Collar Black T-Shirt
