brand_name,listing_id,offer_price,original_price,product_id,product_link,product_name
Adorbs,LSTTSHFMFR2QN62FHVEAXIWWG,934,"3,996",TSHFMFR2QN62FHVE,http://flipkart.com/adorbs-solid-men-v-neck-dark-blue-green-black-light-green-t-shirt/p/itm875ef5ef175c3,"Solid Men V Neck Dark Blue, Dark Green, Black, Light Gr..."
London Hills,LSTTSHFSHGCNSFUXC7H5LOGI9,699,"2,599",TSHFSHGCNSFUXC7H,http://flipkart.com/london-hills-striped-men-round-neck-blue-black-grey-t-shirt/p/itm368d576c7570f,"Striped Men Round Neck Blue, Black, Grey T-Shirt"
Try This,LSTTSHF8UEUHUZDTMWAKQD1H1,354,"1,299",TSHF8UEUHUZDTMWA,http://flipkart.com/try-solid-men-polo-neck-white-black-t-shirt/p/itm2c2c28da76aa7,"Solid Men Polo Neck White, Black T-Shirt"
London Hills,LSTTSHFSHGC7ZNZCS3K65F3VA,699,"2,599",TSHFSHGC7ZNZCS3K,http://flipkart.com/london-hills-solid-men-round-neck-blue-yellow-t-shirt/p/itmab4ed27c196ac,"Solid Men Round Neck Blue, Yellow T-Shirt"
Tripr,LSTTSHFSME8UVXM8HJQKDWUNE,699,"2,999",TSHFSME8UVXM8HJQ,http://flipkart.com/tripr-printed-men-round-neck-multicolor-t-shirt/p/itm2244dc0bcb21f,Printed Men Round Neck Multicolor T-Shirt
Tripr,LSTTSHFSH7QVZABNKCSLBVRTE,649,"2,499",TSHFSH7QVZABNKCS,http://flipkart.com/tripr-printed-men-hooded-neck-dark-blue-red-t-shirt/p/itmbf2701ced0074,"Printed Men Hooded Neck Dark Blue, Red T-Shirt"
Tripr,LSTTSHFSH7PAAEYFMFZZ3ELNJ,649,"2,499",TSHFSH7PAAEYFMFZ,http://flipkart.com/tripr-printed-men-hooded-neck-white-black-t-shirt/p/itm11be7434c31df,"Printed Men Hooded Neck White, Black T-Shirt"
Tripr,LSTTSHFSH7Q5VTCHBP9XPKA2J,649,"2,499",TSHFSH7Q5VTCHBP9,http://flipkart.com/tripr-printed-men-hooded-neck-red-white-t-shirt/p/itmc0811fb5499d8,"Printed Men Hooded Neck Red, White T-Shirt"
Tripr,LSTTSHFSH7PXGAHFR2ZW8M7ZD,649,"2,499",TSHFSH7PXGAHFR2Z,http://flipkart.com/tripr-printed-men-hooded-neck-red-white-t-shirt/p/itm90605310e860a,"Printed Men Hooded Neck Red, White T-Shirt"
Tripr,LSTTSHFSH7PHBVCGGMNOF1NFG,649,"2,499",TSHFSH7PHBVCGGMN,http://flipkart.com/tripr-printed-men-round-neck-dark-blue-grey-t-shirt/p/itm7ac64cda4bbcb,"Printed Men Round Neck Dark Blue, Grey T-Shirt"
SCATCHITE,LSTTSHFKFYBEJKVYFMWYFAZRQ,721,"2,997",TSHFKFYBEJKVYFMW,http://flipkart.com/scatchite-color-block-men-round-neck-white-black-grey-t-shirt/p/itm797b2d3312f2d,"Color Block Men Round Neck White, Black, Grey T-Shirt"
Tripr,LSTTSHFSH7PGJRHMZXUANFKFJ,649,"2,499",TSHFSH7PGJRHMZXU,http://flipkart.com/tripr-printed-men-round-neck-red-black-t-shirt/p/itm6c6f051f6ee0f,"Printed Men Round Neck Red, Black T-Shirt"
Tripr,LSTTSHFSME8JGRZJEDZAIEIQZ,799,"2,999",TSHFSME8JGRZJEDZ,http://flipkart.com/tripr-printed-men-round-neck-multicolor-t-shirt/p/itm1412031c120c4,Printed Men Round Neck Multicolor T-Shirt
London Hills,LSTTSHFSHGCNRAHP4GDRCHX7E,699,"2,599",TSHFSHGCNRAHP4GD,http://flipkart.com/london-hills-solid-men-round-neck-blue-yellow-t-shirt/p/itmab4ed27c196ac,"Solid Men Round Neck Blue, Yellow T-Shirt"
FastColors,LSTTSHFK6WP8A5ZS4HHLNIV04,654,"2,999",TSHFK6WP8A5ZS4HH,http://flipkart.com/fastcolors-solid-men-round-neck-white-blue-yellow-t-shirt/p/itm2f8d778508881,"Solid Men Round Neck White, Blue, Yellow T-Shirt"
Tripr,LSTTSHFSH7PS5938ZHYFDUIEG,649,"2,499",TSHFSH7PS5938ZHY,http://flipkart.com/tripr-printed-men-hooded-neck-dark-blue-white-t-shirt/p/itm9934aa9de5bdf,"Printed Men Hooded Neck Dark Blue, White T-Shirt"
Tripr,LSTTSHFBDGVRGG489F2HQONGY,401,899,TSHFBDGVRGG489F2,http://flipkart.com/tripr-abstract-men-hooded-neck-dark-blue-t-shirt/p/itmfbh24farrt3qj,Abstract Men Hooded Neck Dark Blue T-Shirt
Try This,LSTTSHFJ6MJRENZEHVRADBPRD,398,999,TSHFJ6MJRENZEHVR,http://flipkart.com/try-striped-men-polo-neck-multicolor-t-shirt/p/itmd6e7a7e3c5393,Striped Men Polo Neck Multicolor T-Shirt
Kay Dee,LSTTSHFJV5HEBPTUCUURPLKVQ,284,"1,199",TSHFJV5HEBPTUCUU,http://flipkart.com/kay-dee-typography-men-hooded-neck-red-t-shirt/p/itm3cc4697af4709,Typography Men Hooded Neck Red T-Shirt
Wrath,LSTTSHFPDY6WFZZQGXWVUSD3O,399,"1,499",TSHFPDY6WFZZQGXW,http://flipkart.com/wrath-color-block-men-round-neck-black-grey-t-shirt/p/itmb791e82b224c5,"Color Block Men Round Neck Black, Grey T-Shirt"
